,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
108,Webroot,651,"Webroot, Symantec, McAfee, IBM, University of Colorado Boulder","University of Colorado Boulder, Metropolitan State University of Denver, Regis University, Colorado State University, Front Range Community College","Information Technology, Internet Services, Privacy and Security","Broomfield, Colorado, United States",308,Series Unknown,"$912,913",108912913,7.6,"Internet, Security, Cyber Security",01/01/1997,Operating,12/19/2010,108912913,6.92,108.913,0.784
112,Drawbridge Inc.,182,"Drawbridge Inc., Yahoo! Inc., Rocket Fuel Inc., Quantcast, Cisco","San Jose State University, University of California Berkeley, California State University - East Bay, University of California Los Angeles, Stanford University","Information Technology, Data and Analytics, Sales and Marketing, Privacy and Security, Mobile, Advertising","San Mateo, California, United States",323,Series C,"$25,000,000",45500000,-0.4,"Mobile, Advertising, SaaS, Digital Marketing, Identity Management, Analytics, Personalization, Ad Targeting",11/01/2010,Operating,05/05/2016,45500000,1.54,45.5,0.878
113,Ripcord,37,"Tesla, NASA - National Aeronautics and Space Administration, Nebula Inc., Bridgewater Associates, Franklin W. Olin College of Engineering","California Polytechnic State University-San Luis Obispo, San Jose State University, Stanford University, University of California Davis, Yale University","Media and Entertainment, Software, Administrative Services","Hayward, California, United States",299,Series B,"$25,000,000",49500000,9.1,"Software, Digital Media, Office Administration",03/20/2015,Operating,08/17/2017,34500000,0.25,34.5,0.899
114,Wattpad,1441,"Wattpad, Rakuten Kobo Inc., Google, Amazon, BlackBerry","University of Toronto, University of Waterloo, Ryerson University, Western University, York University","Media and Entertainment, Internet Services, Mobile","Toronto, Ontario, Canada",326,Series Unknown,,66800000,5.1,"Digital Media, Mobile, Social Media",12/11/2006,Operating,09/30/2016,66800000,1.13,66.8,0.891
115,Puls,356,"PULSE, A Discover Company, Discover Financial Services, Merchants'​ Choice Payment Solutions, Wells Fargo, NYCE Corporation","University of Houston, University of Houston-Downtown, The University of Texas at Austin, University of Phoenix, University of Houston, C.T. Bauer College of Business","Platforms, Hardware, Consumer Electronics, Software, Mobile","San Francisco, California, United States",327,Series B,"$25,000,000",43000000,8.5,"Consumer Electronics, Android, iOS",01/01/2015,Operating,08/15/2017,43000000,0.26,43,0.805
116,Upwork,24446,"Upwork, oDesk, Elance, Convergys, Elance-oDesk","National University, University of the Philippines, freeCodeCamp, Daffodil International University-DIU, The Islamia University of Bahawalpur","Commerce and Shopping, Software, Professional Services","Mountain View, California, United States",333,Series Unknown,"$30,000,000",168800000,-2.1,"Enterprise Software, Marketplace, Freelance",01/01/1999,Operating,11/25/2014,168800000,2.98,168.8,0.827
117,Anki,216,"Electronic Arts (EA), Anki, Gymboree, Apple, Carnegie Mellon University","Carnegie Mellon University, Academy of Art University, University of California Berkeley, Stanford University, University of Pennsylvania","Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",335,Private Equity,"$52,500,000",157500000,0.2,"Consumer Electronics, Artificial Intelligence, Robotics, Machine Learning",01/05/2010,Operating,06/27/2016,157500000,1.39,157.5,1.149
118,Genius,171,"GENIUS, Complex Networks, SpinMedia Group Inc., Wesleyan University, Plan International","Yale University, New York University, Parsons School of Design - The New School, Hunter College, School of Visual Arts","Media and Entertainment, Music and Audio, Data and Analytics, Software, Internet Services","Brooklyn, New York, United States",345,Series Unknown,,56900000,3,"Digital Media, Internet, Music, Text Analytics, Content",01/01/2009,Operating,11/04/2015,56900000,2.04,56.9,1.084
119,MobiKwik,385,"MobiKwik, Snapdeal, Dell, Info Edge India Ltd, MakeMyTrip.com","Delhi University, Kendriya Vidyalaya, IILM, Delhi College of Engineering, Guru Gobind Singh Indraprastha University","Hardware, Software, Payments, Internet Services, Financial Services, Mobile","Gurgaon, Haryana, India",347,Funding Round,"$35,360,000",162210000,2.3,"Mobile, Payments, Internet, Mobile Payments, Telecommunications",08/01/2009,Operating,08/03/2017,162210000,0.29,162.21,0.903
121,Gigya,430,"Gigya, Oracle, Israel Defense Forces, Adobe, IBM","Tel Aviv University, Bar-Ilan University, The Academic College of Tel-Aviv, Yaffo, Stanford University, Technion - Israel Institute of Technology","Hardware, Information Technology, Consumer Electronics, Software, Privacy and Security","Mountain View, California, United States",351,Series F,"$35,000,000",105800000,0.9,"Computer, Enterprise Software, Identity Management",06/01/2006,Operating,11/04/2014,105800000,3.04,105.8,0.73
129,Capital Float,355,"Capital Float, HSBC, ICICI Bank, HDFC Bank, Kotak Mahindra Bank","The Institute of Chartered Accountants of India, Kendriya Vidyalaya, Christ University, Bangalore, University of Mumbai, University of Allahabad",Financial Services,"Bangalore, Karnataka, India",371,Series C,"$45,000,000",88530456,8.3,"FinTech, Small and Medium Businesses, Financial Services",01/01/2013,Operating,08/21/2017,88530456,0.24,88.53,0.807
131,Tokopedia,1105,"Tokopedia, Bina Nusantara University, Institut Teknologi Sepuluh Nopember Surabaya, Gameloft, University of Indonesia","Universitas Bina Nusantara (Binus), University of Indonesia, Universitas Padjadjaran, Institut Teknologi Telkom, Institut Pertanian Bogor (IPB)","Commerce and Shopping, Internet Services","Jakarta, Jakarta Raya, Indonesia",392,Series F,"$1,100,000,000",1347700000,6.4,"Shopping, E-Commerce, Marketplace, Internet",02/06/2009,Operating,08/17/2017,1347700000,0.25,1347.7,0.936
133,HackerRank,285,"HackerRank, Cisco, FactSet, LinkedIn, Google","San Jose State University, University of California Berkeley, North South University, Visvesvaraya Technological University, freeCodeCamp","Professional Services, Education","Palo Alto, California, United States",395,Series B,"$8,000,000",27900000,3.6,"Skill Assessment, Employment, Recruiting",07/01/2012,Operating,09/09/2016,27900000,1.19,27.9,0.888
134,InVision,420,"InVision, New Relic Inc., LinkedIn, Zendesk, HubSpot","Stanford University, University of California Santa Barbara, University of Pennsylvania, University of Wisconsin-Madison, University of California Berkeley","Apps, Software, Design, Mobile","New York, New York, United States",397,Series D,"$55,000,000",135200000,-0.4,"Product Design, Collaboration, SaaS, UX Design, Apps, Mobile",06/01/2011,Operating,06/21/2016,134100000,1.41,134.1,1.335
135,Jawbone,170,"Jawbone, Apple, Microsoft, Slide, GE","Stanford University, San Francisco State University, California Polytechnic State University-San Luis Obispo, San Jose State University, Wuhan University of Technology","Hardware, Consumer Electronics, Sports, Health Care, Mobile","San Francisco, California, United States",403,Private Equity,"$165,000,000",983799995,-1.3,"Hardware, Mobile, Consumer Electronics, Fitness, Wearables, Personal Health",01/01/1997,Operating,01/15/2016,590799995,1.84,590.8,1.332
137,SnapLogic,192,"SnapLogic, Oracle, Informatica, University of San Francisco, CA Technologies","University of San Francisco, University of California Berkeley, Jawaharlal Nehru Technological University, San Jose State University, University of California Davis","Information Technology, Data and Analytics, Software, Internet Services","San Mateo, California, United States",408,Series F,"$40,000,000",136299998,-1.4,"Cloud Data Services, Internet, Data Integration, Enterprise Software, Cloud Computing, SaaS",01/01/2006,Operating,12/07/2016,136299998,0.95,136.3,0.897
139,Airware,123,"Autodesk, Airware, Airware EMEA, Microsoft, Accenture","Massachusetts Institute of Technology, Université Paris Diderot, University of California Berkeley, Université de Rouen, California State University-Long Beach","Payments, Financial Services","Melbourne, Victoria, Australia",41811,Series A,"$13,000,000",16000000,-2.1,"Payments, Finance, Financial Services",09/01/2015,Operating,05/01/2017,16000000,0.55,16,0.898
140,Synack,122,"Synack Inc., Cisco, FireEye Inc., Elance, IBM","Aalto University, Stanford University, California Polytechnic State University-San Luis Obispo, University of California Berkeley, University of Arizona","Information Technology, Privacy and Security","Redwood City, California, United States",415,Series C,"$21,250,000",55250000,-0.2,"Crowdsourcing, Cyber Security, Network Security, Security",01/01/2013,Operating,04/11/2017,55250000,0.6,55.25,0.898
141,GitHub,794,"GitHub, Microsoft, Dell EMC, Google, IBM","University of California Berkeley, Stanford University, Georgia Institute of Technology, University of California Davis, University of Michigan","Software, Internet Services","San Francisco, California, United States",418,Non-equity Assistance,,350000000,-5.1,"Internet, Project Management, Software, Developer Tools",02/29/2008,Operating,12/15/2015,350000000,1.93,350,1.209
142,Circle,448,"Circle, Brightcove, Adobe, Kronos Incorporated, Brunel University London","University of Leeds, The University of Manchester, University of Exeter, Loughborough University, University of Bristol","Payments, Financial Services, Lending and Investments","Dublin, Dublin, Ireland",421,Series D,"$60,000,000",136000000,-1.4,"FinTech, Financial Services, Finance, Payments, Personal Finance, Banking",01/01/2013,Operating,06/22/2016,136000000,1.41,136,0.885
143,Expa,50,"Expa, Microsoft, StumbleUpon, Google, Foursquare","University of Pennsylvania, Simon Fraser University, University of San Francisco, UNSW, University of Calgary","Internet Services, Design, Mobile","San Francisco, California, United States",429,Series Unknown,"$100,000,000",150000000,6,"Product Design, Internet, Mobile",05/02/2013,Operating,03/30/2016,150000000,1.64,150,1.103
144,Viagogo,209,"viagogo, Arise Europe, Merrill Lynch, University of Limerick, Michael Kors","University of Limerick, Limerick Institute of Technology, King's College London, Harvard University, Imperial College London","Commerce and Shopping, Media and Entertainment, Events","San Francisco, California, United States",430,Series D,"$15,000,000",65000000,7.5,"E-Commerce, Marketplace, Events",01/01/2005,Operating,02/05/2009,65000000,8.79,65,0.781
145,Knewton,150,"Knewton, Pearson, McGraw-Hill Education, Cengage, IBM","New York University, Harvard University, Brown University, Massachusetts Institute of Technology, Northeastern University","Data and Analytics, Software, Education, Artificial Intelligence","New York, New York, United States",431,Series F,"$10,000,000",157250017,4.8,"EdTech, Personalization, Machine Learning, Education",01/01/2008,Operating,02/02/2016,157250017,1.79,157.25,0.872
146,AngelList,137,"Microsoft, eBay, Voxbone, Google, Dropbox","Stanford University, University of California Berkeley, Massachusetts Institute of Technology, Princeton University, Harvard University","Professional Services, Financial Services","San Francisco, California, United States",434,Series B,"$2,100,000",26200000,-5.6,"Recruiting, Finance",01/01/2010,Operating,03/09/2015,26200000,2.7,26.2,1.282
147,BlaBlaCar,522,"BlaBlaCar, Orange, dailymotion, Rocket Internet SE, eBay","HEC Paris, Université Paris Dauphine, University of Warsaw, EPITECH - European Institute of Technology, Sciences Po","Travel and Tourism, Transportation","Paris, Ile-de-France, France",436,Funding Round,"€21,000,000",334978172,-2.7,"Transportation, Ride Sharing, Travel, Collaborative Consumption, Car Sharing",01/01/2006,Operating,09/06/2016,334978172,1.2,334.978,0.897
148,Sumo Logic,339,"Sumo Logic, Hewlett Packard Enterprise, VMware, BMC Software, Microsoft","San Jose State University, Netaji Subhas Institute of Technology, San Francisco State University, Ohio University, University of California Davis","Data and Analytics, Software","Redwood City, California, United States",437,Series F,"$75,000,000",230000000,-2,"SaaS, Analytics, Enterprise Software",01/01/2010,Operating,06/27/2017,230000000,0.39,230,0.904
