Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Founders Fund,/organization/founders-fund,286,45,"San Francisco, California, United States",Founders Fund is a San Francisco based venture capital firm investing in companies building revolutionary technologies.,175,-0.3,Venture Capital,"Seed, Grant, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Flybridge Capital Partners,/organization/flybridge-capital,290,45,"Boston, Massachusetts, United States",Flybridge Capital Partners is a seed and early-stage venture capital firm that invests in technology companies.,693,-4.5,Venture Capital,"Seed, Early Stage Venture"
Edison Partners,/organization/edison-ventures,184,45,"Princeton, New Jersey, United States",Edison Partners is a growth equity firm that focuses on technology-enabled solutions in the Eastern United States.,"3,273",-2.5,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
Alloy Ventures,/organization/alloy-ventures,169,45,"Palo Alto, California, United States","Alloy Ventures is an early stage venture capital firm that invests in the areas of life sciences, information technology, and cleantech.","6,839",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Focus Ventures,/organization/focus-ventures,103,45,"Palo Alto, California, United States","Focus Ventures is a California-based venture capital firm that finances software, communications, and semiconductor companies.","7,429",-0.5,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Betaworks,/organization/betaworks,150,44,"New York, New York, United States",Betaworks is a startup studio that builds and invests in next generation internet companies.,104,-2.7,Micro VC,"Seed, Early Stage Venture, Debt"
Partech Ventures,/organization/partech-international,267,44,"Paris, Ile-de-France, France",Partech Ventures is a venture capital firm specializing in U.S. and European investments.,284,-0.8,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Spark Capital,/organization/spark-capital,269,44,"Boston, Massachusetts, United States",Spark Capital partners with imaginative entrepreneurs who are driven to move people with the products and experiences they create.,327,-2.2,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
next47,/organization/siemens-venture-capital,186,44,"Munich, Bayern, Germany","Through an environment and relationship built on openness, understanding and close teamwork SVC objective is to help entrepreneurs realize","1,178",5.9,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture"
In-Q-Tel,/organization/in-q-tel,168,44,"Arlington, Virginia, United States",In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central,"1,313",-1,Government Office,"Seed, Grant, Late Stage Venture, Debt, Early Stage Venture"
Flagship Pioneering,/organization/flagship-ventures,191,44,"Cambridge, Massachusetts, United States","Leading firm that conceives, creates, resources and grows first-in-category ventures to transform human health and sustainability.","1,826",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Adams Street Partners,/organization/adams-street-partners,153,43,"Chicago, Illinois, United States",Adams Street Partners is a private equity investor that has been investing since 1972. They currently have over $20 Billion under,"1,382",2.9,Private Equity Firm,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Frazier Healthcare Partners,/organization/frazier-healthcare-ventures,141,43,"Seattle, Washington, United States","Frazier Healthcare Partners is a healthcare investment firm for pharmaceuticals, healthcare services, & medical products.","1,877",7,,"Early Stage Venture, Late Stage Venture, Private Equity"
Salesforce Ventures,/organization/salesforce-ventures,254,43,"San Francisco, California, United States",Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.,"4,635",-3.3,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Investor Growth Capital Limited,/organization/investor-growth-capital,140,43,"Stockholm, Stockholms Lan, Sweden",Investor Growth Capital is a Sweden-based venture capital that offers businesses with advisory services.,"5,273",-1,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
St. Paul Venture Capital,/organization/st-paul-venture-capital,102,43,"Minneapolis, Minnesota, United States",St. Paul Venture Capital is an American private equity firm that invests in early-stage companies.,"9,936",-0.6,Venture Capital,Early Stage Venture
High-Tech Gruenderfonds,/organization/high-tech-gruenderfonds,565,42,"Bonn, Nordrhein-Westfalen, Germany",High-Tech Gruenderfonds is Germany's most active seed fund.,421,6.1,Venture Capital,"Seed, Early Stage Venture"
Gimv,/organization/gimv,143,42,"Antwerpen, Antwerpen, Belgium","Gimv is a European private equity firm that invests in selected investment platforms with a focus on Benelux, France, and Germany.",611,9.6,"Venture Capital, Private Equity Firm","Early Stage Venture, Late Stage Venture"
Pitango Venture Capital,/organization/pitango-venture-capital,228,42,"Herzliya, Tel Aviv, Israel","Pitango is one of Israel's leading venture capital firms, that has been investing in technology entrepreneurs since 1993.",694,1.9,Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Granite Ventures,/organization/granite-ventures,164,42,"San Francisco, California, United States","Granite Ventures provides seed and early stage investments to the technology industry and is based in California, U.S.","4,404",-2.2,Venture Capital,"Seed, Early Stage Venture"
ComVentures,/organization/comventures,123,42,"Palo Alto, California, United States",ComVentures is a U.S.-based venture capital firm focused on investments in digital media and communications companies.,"7,611",0,Venture Capital,"Early Stage Venture, Late Stage Venture"
Allen & Company,/organization/allen-and-company,127,41,"New York, New York, United States",Allen & Company is a privately-held merchant banking operation founded in 1922.,"1,518",-4.6,Investment Bank,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Columbia Capital,/organization/columbia-capital,171,41,"Alexandria, Virginia, United States","Columbia Capital is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.","1,994",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
HarbourVest Partners,/organization/harbourvest-partners,98,41,"Boston, Massachusetts, United States",HarbourVest is an independent investment firm that provides innovative private equity solutions to institutional clients worldwide.,"2,392",-5,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Samsung Ventures,/organization/samsung-ventures,140,40,"Seoul, Seoul-t'ukpyolsi, South Korea","Samsung Ventures invests in startup companies focused on semi-conductors, IT, software, internet services, biotechnology, and more.",754,4.5,Corporate Venture Capital,"Seed, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
TA Associates,/organization/ta-associates,90,40,"Boston, Massachusetts, United States",TA Associates is one of the oldest and largest private equity firms in the world.,"1,195",-3.7,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Worldview Technology Partners,/organization/worldview-technology-partners,133,40,"San Mateo, California, United States",Worldview Technology Partners is a leading venture capital firm focused on investing in and building leading U.S. technology companies.,"8,594",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Oxford Finance Corporation,/organization/oxford-finance-corporation,79,40,"Alexandria, Virginia, United States",Oxford Finance Corporation is a lending institution that provides financial solutions to life sciences and healthcare services companies.,"9,750",-2.5,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Debt, Post-Ipo"
T. Rowe Price,/organization/t-rowe-price,97,39,"Baltimore, Maryland, United States",T. Rowe Price is a Maryland-based investment management firm dedicated to funding technology startups.,633,-2.1,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Novartis Venture Fund,/organization/novartis-venture-fund,163,39,"Basel, Basel-Stadt, Switzerland",Novartis Venture Fund is a venture capital firm focused on companies that develop novel therapeutics and platforms.,"4,263",-3.2,"Venture Capital, Corporate Venture Capital","Post-Ipo, Seed, Late Stage Venture, Secondary Market, Early Stage Venture"
Johnson & Johnson Development Corporation,/organization/johnson-johnson-development-corporation,145,39,"New Brunswick, New Jersey, United States","Johnson & Johnson Development Corporation, a venture capital subsidiary, finances technology companies focused on patient health.","4,536",-0.8,Corporate Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Mobius Venture Capital,/organization/mobius-venture-capital,148,39,"Boulder, Colorado, United States","Mobius Venture Capital is an early-stage venture capital fund that invests in various sectors, including healthcare and infrastructure.","6,987",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Private Equity"
Deutsche Bank,/organization/deutsche-bank,78,38,"Frankfurt, Hessen, Germany","Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.",147,7.6,Investment Bank,"Post-Ipo, Late Stage Venture, Debt, Early Stage Venture, Private Equity"
Plug and Play,/organization/plug-and-play-ventures,581,38,"Sunnyvale, California, United States",Plug and Play is a seed and early-stage investment firm focusing on technology start-ups.,239,6.6,Accelerator,"Seed, Early Stage Venture"
Kima Ventures,/organization/kima-ventures,439,38,"Paris, Ile-de-France, France",Investing worldwide in 2 to 3 companies per week. Stage & Sector agnostic.,363,-0.6,Micro VC,"Seed, Early Stage Venture"
